location,counts,id,country,Region,Population_ori,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Antigua and Barbuda,30,NA,Barbuda,NA,NA,96286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,32,1,Bahamas,NA,NA,385640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonaire Sint Eustatius and Saba,17,NA,Bonaire,NA,NA,25987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,37,1,Bosnia and Herzegovina,NA,NA,3324000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,23,NA,Virgin Islands,NA,NA,29802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,34,1,Central African Republic,NA,NA,4666000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo,34,NA,Republic of Congo,NA,NA,84070000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curacao,26,1,Curacao,NA,NA,159849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of Congo,37,NA,Democratic Republic of the Congo,NA,NA,84070000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faeroe Islands,30,NA,Denmark,NA,NA,48497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands,15,1,Falkland Islands,NA,NA,2840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,32,1,Gambia,NA,NA,2280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
International,64,NA,International,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kosovo,34,1,Kosovo,NA,NA,1845000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,32,1,Montenegro,NA,NA,631219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myanmar,27,1,Myanmar,NA,NA,53710000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,19,1,Northern Mariana Islands,NA,NA,56882000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine,41,1,Palestine,NA,NA,5052000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,24,NA,Nevis,NA,NA,52441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,10,1,Sao Tome and Principe,NA,NA,211028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sint Maarten (Dutch part),24,NA,Sint Maarten,NA,NA,40654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,110,1,South Korea,NA,NA,51640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Sudan,13,1,South Sudan,NA,NA,10980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timor,28,NA,Timor-Leste,NA,NA,1268000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,37,NA,Trinidad,NA,NA,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turks and Caicos Islands,25,1,Turks and Caicos Islands,NA,NA,37665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States Virgin Islands,25,NA,NA,NA,NA,106977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vatican,35,1,Vatican,NA,NA,825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,110,NA,NA,NA,NA,7594000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,110,1,China,ASIA (EX. NEAR EAST),1313973713,1313973713,9596960,"136,9","0,15","-0,4",2418,5000,909,"266,7","15,4","1,25",8335,15,1325,697,125,473,403
India,109,1,India,ASIA (EX. NEAR EAST),1095351995,1095351995,3287590,"333,2","0,21","-0,07",5629,2900,595,"45,4","54,4","2,74",4286,25,2201,818,186,276,538
United States,110,NA,USA,NORTHERN AMERICA,298444215,298444215,9631420,"31,0","0,21","3,41",65,37800,970,"898,0","19,13","0,22",8065,3,1414,826,"0,01",204,787
Indonesia,103,1,Indonesia,ASIA (EX. NEAR EAST),245452739,245452739,1919440,"127,9","2,85",0,356,3200,879,"52,0","11,32","7,23",8145,2,2034,625,134,458,408
Brazil,107,1,Brazil,LATIN AMER. & CARIB,188078227,188078227,8511965,"22,1","0,09","-0,03",2961,7600,864,"225,3","6,96","0,9",9215,2,1656,617,84,"0,4",516
Pakistan,105,1,Pakistan,ASIA (EX. NEAR EAST),165803560,165803560,803940,"206,2","0,13","-2,77",7244,2100,457,"31,8","27,87","0,87",7126,1,2974,823,216,251,533
Bangladesh,35,1,Bangladesh,ASIA (EX. NEAR EAST),147365352,147365352,144000,"1023,4","0,40","-0,71",626,1900,431,"7,3","62,11","3,07",3482,2,298,827,199,198,603
Russia,105,1,Russia,C.W. OF IND. STATES,142893540,142893540,17075200,"8,4","0,22","1,02",1539,8900,996,"280,6","7,33","0,11",9256,NA,995,1465,54,371,575
Nigeria,99,1,Nigeria,SUB-SAHARAN AFRICA,131859731,131859731,923768,"142,7","0,09","0,26",988,900,680,"9,3","31,29","2,96",6575,15,4043,1694,269,487,244
Japan,110,1,Japan,ASIA (EX. NEAR EAST),127463611,127463611,377835,"337,4","7,87",0,326,28200,990,"461,2","12,19","0,96",8685,3,937,916,17,258,725
Mexico,102,1,Mexico,LATIN AMER. & CARIB,107449525,107449525,1972550,"54,5","0,47","-4,87",2091,9000,922,"181,6","12,99","1,31",857,15,2069,474,38,259,702
Philippines,106,1,Philippines,ASIA (EX. NEAR EAST),89468677,89468677,300000,"298,2","12,10","-1,5",2351,4600,926,"38,4","18,95","16,77",6428,2,2489,541,144,326,"0,53"
Vietnam,106,1,Vietnam,ASIA (EX. NEAR EAST),84402966,84402966,329560,"256,1","1,05","-0,45",2595,2500,903,"187,7","19,97","5,95",7408,2,1686,622,209,"0,41",381
Germany,110,1,Germany,WESTERN EUROPE,82422299,82422299,357021,"230,9","0,67","2,18",416,27600,990,"667,9","33,85","0,59",6556,3,825,1062,9,296,695
Egypt,106,1,Egypt,NORTHERN AFRICA,78887007,78887007,1001450,"78,8","0,24","-0,22",3259,4000,577,"131,8","2,87","0,48",9665,1,2294,523,149,357,493
Ethiopia,36,1,Ethiopia,SUB-SAHARAN AFRICA,74777981,74777981,1127127,"66,3","0,00",0,9532,700,427,"8,2","10,71","0,75",8854,2,3798,1486,475,99,426
Turkey,36,1,Turkey,NEAR EAST,70413958,70413958,780580,"90,2","0,92",0,4104,6700,865,"269,5","30,93","3,31",6576,3,1662,597,117,298,585
Iran,110,1,Iran,ASIA (EX. NEAR EAST),68688433,68688433,1648000,"41,7","0,15","-0,84",4158,7000,794,"276,4","8,72","1,39",8989,1,17,555,116,424,"0,46"
Thailand,103,1,Thailand,ASIA (EX. NEAR EAST),64631595,64631595,514000,"125,7","0,63",0,2048,7400,926,"108,9","29,36","6,46",6418,2,1387,704,99,441,"0,46"
France,110,1,France,WESTERN EUROPE,60876136,60876136,547030,"111,3","0,63","0,66",426,27600,990,"586,4","33,53","2,07",644,4,1199,914,22,214,764
United Kingdom,110,NA,UK,WESTERN EUROPE,60609153,60609153,244820,"247,6","5,08","2,19",516,27700,990,"543,5","23,46","0,21",7633,3,1071,1013,5,237,758
Italy,110,1,Italy,WESTERN EUROPE,58133509,58133509,301230,"193,0","2,52","2,07",594,26700,986,"430,9","27,79","9,53",6268,NA,872,104,21,291,688
Ukraine,36,1,Ukraine,C.W. OF IND. STATES,46710816,46710816,603700,"77,4","0,46","-0,39",2034,5400,997,"259,9","56,21","1,61",4218,3,882,1439,187,452,361
South Africa,42,1,South Africa,SUB-SAHARAN AFRICA,44187637,44187637,1219912,"36,2","0,23","-0,29",6181,10700,864,"107,0","12,08","0,79",8713,1,182,22,25,303,671
Colombia,39,1,Colombia,LATIN AMER. & CARIB,43593035,43593035,1138910,"38,3","0,28","-0,31",2097,6300,925,"176,2","2,42","1,67",9591,2,2048,558,125,342,533
Sudan,36,1,Sudan,SUB-SAHARAN AFRICA,41236378,41236378,2505810,"16,5","0,03","-0,02",625,1900,611,"16,3","6,83","0,18",9299,2,3453,897,387,203,"0,41"
Spain,110,1,Spain,WESTERN EUROPE,40397842,40397842,504782,"80,0","0,98","0,99",442,22000,979,"453,5","26,07","9,87",6406,3,1006,972,"0,04",295,665
Argentina,43,1,Argentina,LATIN AMER. & CARIB,39921833,39921833,2766890,"14,4","0,18","0,61",1518,11200,971,"220,4","12,31","0,48",8721,3,1673,755,95,358,547
Poland,44,1,Poland,EASTERN EUROPE,38536869,38536869,312685,"123,3","0,16","-0,49",851,11100,998,"306,3","45,91","1,12",5297,3,985,989,"0,05",311,"0,64"
Tanzania,33,1,Tanzania,SUB-SAHARAN AFRICA,37445392,37445392,945087,"39,6","0,15","-2,06",9854,600,782,"4,0","4,52","1,08",944,NA,3771,1639,432,172,396
Kenya,36,1,Kenya,SUB-SAHARAN AFRICA,34707817,34707817,582650,"59,6","0,09","-0,1",6147,1000,851,"8,1","8,08","0,98",9094,15,3972,1402,163,188,651
Morocco,40,1,Morocco,NORTHERN AFRICA,33241259,33241259,446550,"74,4","0,41","-0,98",4162,4000,517,"40,4","19,61","2,17",7822,NA,2198,558,217,357,426
Canada,110,1,Canada,NORTHERN AMERICA,33098932,33098932,9984670,"3,3","2,02","5,96",475,29800,970,"552,2","4,96","0,02",9502,NA,1078,78,22,294,684
Algeria,105,1,Algeria,NORTHERN AFRICA,32930091,32930091,2381740,"13,8","0,04","-0,39",31,6000,700,"78,1","3,22","0,25",9653,1,1714,461,101,"0,6",298
Afghanistan,100,1,Afghanistan,ASIA (EX. NEAR EAST),31056997,31056997,647500,"48,0","0,00","23,06",16307,700,360,"3,2","12,13","0,22",8765,1,466,2034,"0,38","0,24","0,38"
Peru,42,1,Peru,LATIN AMER. & CARIB,28302603,28302603,1285220,"22,0","0,19","-1,05",3194,5100,909,"79,5","2,89","0,4",9671,15,2048,623,"0,08","0,27","0,65"
Nepal,97,1,Nepal,ASIA (EX. NEAR EAST),28287147,28287147,147181,"192,2","0,00",0,6698,1400,452,"15,9","21,68","0,64",7768,NA,3098,931,"0,38","0,21","0,41"
Uganda,28,1,Uganda,SUB-SAHARAN AFRICA,28195754,28195754,236040,"119,5","0,00",0,6783,1400,699,"3,6","25,88","10,65",6347,2,4735,1224,311,222,469
Uzbekistan,34,1,Uzbekistan,C.W. OF IND. STATES,27307134,27307134,447400,"61,0","0,00","-1,72",711,1700,993,"62,9","10,83","0,83",8834,1,2636,784,342,229,"0,43"
Saudi Arabia,44,1,Saudi Arabia,NEAR EAST,27019731,27019731,1960582,"13,8","0,13","-2,71",1324,11800,788,"140,6","1,67","0,09",9824,1,2934,258,33,613,354
Iraq,108,1,Iraq,NEAR EAST,26783383,26783383,437072,"61,3","0,01",0,5025,1500,404,"38,6","13,15","0,78",8607,1,3198,537,73,666,261
Venezuela,35,1,Venezuela,LATIN AMER. & CARIB,25730435,25730435,912050,"28,2","0,31","-0,04",222,4800,934,"140,1","2,95","0,92",9613,2,1871,492,"0,04",419,541
Malaysia,109,1,Malaysia,ASIA (EX. NEAR EAST),24385858,24385858,329750,"74,0","1,42",0,177,9000,887,"179,0","5,48","17,61",7691,2,2286,505,84,"0,48",436
Taiwan,108,1,Taiwan,ASIA (EX. NEAR EAST),23036087,23036087,35980,"640,3","4,35",0,64,23400,961,"591,0",24,1,75,2,1256,648,18,259,723
Ghana,36,1,Ghana,SUB-SAHARAN AFRICA,22409572,22409572,239460,"93,6","0,23","-0,64",5143,2200,748,"14,4","16,26","9,67",7407,2,3052,972,366,246,387
Romania,108,1,Romania,EASTERN EUROPE,22303552,22303552,237500,"93,9","0,09","-0,13",2643,7000,984,"196,9","40,82","2,25",5693,3,107,1177,101,"0,35",549
Yemen,9,1,Yemen,NEAR EAST,21456188,21456188,527970,"40,6","0,36",0,615,800,502,"37,2","2,78","0,24",9698,1,4289,83,135,472,393
Australia,110,1,Australia,OCEANIA,20264082,20264082,7686850,"2,6","0,34","3,98",469,29000,1000,"565,5","6,55","0,04",9341,1,1214,751,38,262,"0,7"
Sri Lanka,101,1,Sri Lanka,ASIA (EX. NEAR EAST),20222240,20222240,65610,"308,2","2,04","-1,31",1435,3700,923,"61,5","13,86","15,7",7044,2,1551,652,178,276,545
Mozambique,27,1,Mozambique,SUB-SAHARAN AFRICA,19686505,19686505,801590,"24,6","0,31",0,13079,1200,478,"3,5","5,1","0,3",946,2,3518,2135,262,348,"0,39"
Syria,27,1,Syria,NEAR EAST,18881361,18881361,185180,"102,0","0,10",0,2953,3300,769,"153,8","25,22","4,43",7035,1,2776,481,249,"0,23",519
Madagascar,29,1,Madagascar,SUB-SAHARAN AFRICA,18595469,18595469,587040,"31,7","0,82",0,7683,800,689,"3,6","5,07","1,03",9391,2,4141,1111,276,165,559
Cote d'Ivoire,36,NA,Ivory Coast,SUB-SAHARAN AFRICA,17654843,17654843,322460,"54,8","0,16","-0,07",9083,1400,509,"14,6","9,75","13,84",7641,2,3511,1484,279,171,"0,55"
Cameroon,37,1,Cameroon,SUB-SAHARAN AFRICA,17340702,17340702,475440,"36,5","0,08",0,6826,1800,790,"5,7","12,81","2,58",8461,15,3389,1347,448,"0,17",382
Netherlands,110,1,Netherlands,WESTERN EUROPE,16491461,16491461,41526,"397,1","1,09","2,91",504,28600,990,"460,8","26,71","0,97",7232,3,109,868,21,244,736
Chile,45,1,Chile,LATIN AMER. & CARIB,16134219,16134219,756950,"21,3","0,85",0,88,9900,962,"213,0","2,65","0,42",9693,3,1523,581,"0,06",493,447
Kazakhstan,35,1,Kazakhstan,C.W. OF IND. STATES,15233244,15233244,2717300,"5,6","0,00","-3,35",2921,6300,984,"164,1","7,98","0,05",9197,4,16,942,67,386,547
Burkina Faso,37,1,Burkina Faso,SUB-SAHARAN AFRICA,13902972,13902972,274200,"50,7","0,00",0,9757,1100,266,"7,0","14,43","0,19",8538,2,4562,156,322,196,482
Cambodia,101,1,Cambodia,ASIA (EX. NEAR EAST),13881427,13881427,181040,"76,7","0,24",0,7148,1900,694,"2,6","20,96","0,61",7843,2,269,906,"0,35","0,3","0,35"
Ecuador,105,1,Ecuador,LATIN AMER. & CARIB,13547510,13547510,283560,"47,8","0,79","-8,58",2366,3300,925,"125,6","5,85","4,93",8922,2,2229,423,"0,07",312,618
Malawi,16,1,Malawi,SUB-SAHARAN AFRICA,13013926,13013926,118480,"109,8","0,00",0,10332,600,627,"7,9","23,38","1,49",7513,2,4313,1933,342,158,499
Niger,29,1,Niger,SUB-SAHARAN AFRICA,12525094,12525094,1267000,"9,9","0,00","-0,67",12169,800,176,"1,9","3,54","0,01",9645,1,5073,2091,"0,39","0,17","0,44"
Guatemala,35,1,Guatemala,LATIN AMER. & CARIB,12293545,12293545,108890,"112,9","0,37","-1,67",3593,4100,706,"92,1","12,54","5,03",8243,2,2988,52,227,188,585
Zimbabwe,29,1,Zimbabwe,SUB-SAHARAN AFRICA,12236805,12236805,390580,"31,3","0,00",0,6769,1900,907,"26,8","8,32","0,34",9134,2,2801,2184,179,243,579
Angola,28,1,Angola,SUB-SAHARAN AFRICA,12127071,12127071,1246700,"9,7","0,13",0,19119,1900,420,"7,8","2,41","0,24",9735,NA,4511,242,96,658,246
Senegal,40,1,Senegal,SUB-SAHARAN AFRICA,11987121,11987121,196190,"61,1","0,27","0,2",5551,1600,402,"22,2","12,78","0,21",8701,2,3278,942,172,209,619
Mali,24,1,Mali,SUB-SAHARAN AFRICA,11716829,11716829,1240000,"9,5","0,00","-0,33",11679,900,464,"6,4","3,82","0,03",9615,2,4982,1689,"0,45","0,17","0,38"
Zambia,31,1,Zambia,SUB-SAHARAN AFRICA,11502010,11502010,752614,"15,3","0,00",0,8829,800,806,"8,2","7,08","0,03",929,2,41,1993,"0,22","0,29",489
Cuba,35,1,Cuba,LATIN AMER. & CARIB,11382820,11382820,110860,"102,7","3,37","-1,58",633,2900,970,"74,7","33,05","7,6",5935,2,1189,722,55,261,684
Greece,108,1,Greece,WESTERN EUROPE,10688058,10688058,131940,"81,0","10,37","2,35",553,20000,975,"589,7","21,1","8,78",7012,3,968,1024,54,213,733
Portugal,47,1,Portugal,WESTERN EUROPE,10605870,10605870,92391,"114,8","1,94","3,57",505,18000,933,"399,2","21,75","7,81",7044,3,1072,105,53,274,673
Belgium,110,1,Belgium,WESTERN EUROPE,10379067,10379067,30528,"340,0","0,22","1,23",468,29100,980,"462,6","23,28","0,4",7632,3,1038,1027,"0,01","0,24",749
Belarus,102,1,Belarus,C.W. OF IND. STATES,10293011,10293011,207600,"49,6","0,00","2,54",1337,6100,996,"319,1","29,55","0,6",6985,4,1116,1402,93,316,591
Czech Republic,110,1,Czech Republic,EASTERN EUROPE,10235455,10235455,78866,"129,8","0,00","0,97",393,15700,999,"314,3","39,8","3,05",5715,3,902,1059,34,393,573
Tunisia,41,1,Tunisia,NORTHERN AFRICA,10175014,10175014,163610,"62,2","0,70","-0,57",2477,6900,742,"123,6","17,86","13,74",684,3,1552,513,132,318,"0,55"
Hungary,44,1,Hungary,EASTERN EUROPE,9981334,9981334,93030,"107,3","0,00","0,86",857,13900,994,"336,2","50,09","2,06",4785,3,972,1311,37,312,651
